time,agentname,agentamount
1.024232,R,10
1.024232,S,9837
1.032898,E,121
1.032898,H,0
1.032898,I,32
1.032898,R,10
1.032898,S,9837
1.058996,E,122
1.058996,H,0
1.058996,I,32
1.058996,R,10
1.058996,S,9836
1.059939,E,121
1.059939,H,0
1.059939,I,33
1.059939,R,10
1.059939,S,9836
1.067210,E,122
1.067210,H,0
1.067210,I,33
1.067210,R,10
1.067210,S,9835
1.068229,E,123
1.068229,H,0
1.068229,I,33
1.068229,R,10
1.068229,S,9834
1.072172,E,122
1.072172,H,0
1.072172,I,34
1.072172,R,10
1.072172,S,9834
1.081092,E,123
1.081092,H,0
1.081092,I,34
1.081092,R,10
1.081092,S,9833
1.112457,E,122
1.112457,H,0
1.112457,I,35
1.112457,R,10
1.112457,S,9833
1.125559,E,121
1.125559,H,0
1.125559,I,36
1.125559,R,10
1.125559,S,9833
1.134987,E,122
1.134987,H,0
1.134987,I,36
1.134987,R,10
1.134987,S,9832
1.175948,E,122
1.175948,H,0
1.175948,I,35
1.175948,R,11
1.175948,S,9832
1.183518,E,122
1.183518,H,0
1.183518,I,34
1.183518,R,12
1.183518,S,9832
1.194195,E,121
1.194195,H,0
1.194195,I,35
1.194195,R,12
1.194195,S,9832
1.200418,E,122
1.200418,H,0
1.200418,I,35
1.200418,R,12
1.200418,S,9831
1.202060,E,123
1.202060,H,0
1.202060,I,35
1.202060,R,12
1.202060,S,9830
1.226336,E,124
1.226336,H,0
1.226336,I,35
1.226336,R,12
1.226336,S,9829
1.236975,E,123
1.236975,H,0
1.236975,I,36
1.236975,R,12
1.236975,S,9829
1.265883,E,122
1.265883,H,0
1.265883,I,37
1.265883,R,12
1.265883,S,9829
1.293548,E,122
1.293548,H,0
1.293548,I,36
1.293548,R,13
1.293548,S,9829
1.308531,E,121
1.308531,H,0
1.308531,I,37
1.308531,R,13
1.308531,S,9829
1.310131,E,122
1.310131,H,0
1.310131,I,37
1.310131,R,13
1.310131,S,9828
1.313217,E,123
1.313217,H,0
1.313217,I,37
1.313217,R,13
1.313217,S,9827
1.314104,E,122
1.314104,H,0
1.314104,I,38
1.314104,R,13
1.314104,S,9827
1.345393,E,123
1.345393,H,0
1.345393,I,38
1.345393,R,13
1.345393,S,9826
1.348596,E,122
1.348596,H,0
1.348596,I,39
1.348596,R,13
1.348596,S,9826
1.353670,E,123
1.353670,H,0
1.353670,I,39
1.353670,R,13
1.353670,S,9825
1.361915,E,124
1.361915,H,0
1.361915,I,39
1.361915,R,13
1.361915,S,9824
1.375886,E,123
1.375886,H,0
1.375886,I,40
1.375886,R,13
1.375886,S,9824
1.379995,E,122
1.379995,H,0
1.379995,I,41
1.379995,R,13
1.379995,S,9824
1.383719,E,121
1.383719,H,0
1.383719,I,42
1.383719,R,13
1.383719,S,9824
1.387808,E,121
1.387808,H,0
1.387808,I,41
1.387808,R,14
1.387808,S,9824
1.396544,E,122
1.396544,H,0
1.396544,I,41
1.396544,R,14
1.396544,S,9823
1.420530,E,121
1.420530,H,0
1.420530,I,42
1.420530,R,14
1.420530,S,9823
1.421482,E,121
1.421482,H,0
1.421482,I,41
1.421482,R,15
1.421482,S,9823
1.430584,E,121
1.430584,H,0
1.430584,I,40
1.430584,R,16
1.430584,S,9823
1.452535,E,122
1.452535,H,0
1.452535,I,40
1.452535,R,16
1.452535,S,9822
1.484849,E,122
1.484849,H,0
1.484849,I,39
1.484849,R,17
1.484849,S,9822
1.496628,E,123
1.496628,H,0
1.496628,I,39
1.496628,R,17
1.496628,S,9821
1.497559,E,124
1.497559,H,0
1.497559,I,39
1.497559,R,17
1.497559,S,9820
1.499172,E,125
1.499172,H,0
1.499172,I,39
1.499172,R,17
1.499172,S,9819
1.508894,E,124
1.508894,H,0
1.508894,I,40
1.508894,R,17
1.508894,S,9819
1.510097,E,125
1.510097,H,0
1.510097,I,40
1.510097,R,17
1.510097,S,9818
1.536085,E,124
1.536085,H,0
1.536085,I,41
1.536085,R,17
1.536085,S,9818
1.546285,E,124
1.546285,H,0
1.546285,I,40
1.546285,R,18
1.546285,S,9818
1.556538,E,123
1.556538,H,0
1.556538,I,41
1.556538,R,18
1.556538,S,9818
1.578940,E,122
1.578940,H,0
1.578940,I,42
1.578940,R,18
1.578940,S,9818
1.585411,E,123
1.585411,H,0
1.585411,I,42
1.585411,R,18
1.585411,S,9817
1.593157,E,124
1.593157,H,0
1.593157,I,42
1.593157,R,18
1.593157,S,9816
1.602274,E,123
1.602274,H,0
1.602274,I,43
1.602274,R,18
1.602274,S,9816
1.621253,E,122
1.621253,H,0
1.621253,I,44
1.621253,R,18
1.621253,S,9816
1.650118,E,123
1.650118,H,0
1.650118,I,44
1.650118,R,18
1.650118,S,9815
1.658904,E,124
1.658904,H,0
1.658904,I,44
1.658904,R,18
1.658904,S,9814
1.665497,E,125
1.665497,H,0
1.665497,I,44
1.665497,R,18
1.665497,S,9813
1.668229,E,126
1.668229,H,0
1.668229,I,44
1.668229,R,18
1.668229,S,9812
1.672431,E,125
1.672431,H,0
1.672431,I,45
1.672431,R,18
1.672431,S,9812
1.710590,E,126
1.710590,H,0
1.710590,I,45
1.710590,R,18
1.710590,S,9811
1.713536,E,127
1.713536,H,0
1.713536,I,45
1.713536,R,18
1.713536,S,9810
1.716328,E,126
1.716328,H,0
1.716328,I,46
1.716328,R,18
1.716328,S,9810
1.718059,E,126
1.718059,H,0
1.718059,I,45
1.718059,R,19
1.718059,S,9810
1.721324,E,125
1.721324,H,0
1.721324,I,46
1.721324,R,19
1.721324,S,9810
1.737735,E,126
1.737735,H,0
1.737735,I,46
1.737735,R,19
1.737735,S,9809
1.745146,E,125
1.745146,H,0
1.745146,I,47
1.745146,R,19
1.745146,S,9809
1.745936,E,124
1.745936,H,0
1.745936,I,48
1.745936,R,19
1.745936,S,9809
1.749942,E,125
1.749942,H,0
1.749942,I,48
1.749942,R,19
1.749942,S,9808
1.818663,E,126
1.818663,H,0
1.818663,I,48
1.818663,R,19
1.818663,S,9807
1.819754,E,126
1.819754,H,0
1.819754,I,47
1.819754,R,20
1.819754,S,9807
1.834620,E,127
1.834620,H,0
1.834620,I,47
1.834620,R,20
1.834620,S,9806
1.837538,E,127
1.837538,H,0
1.837538,I,46
1.837538,R,21
1.837538,S,9806
1.859824,E,128
1.859824,H,0
1.859824,I,46
1.859824,R,21
1.859824,S,9805
1.863684,E,129
1.863684,H,0
1.863684,I,46
1.863684,R,21
1.863684,S,9804
1.887513,E,128
1.887513,H,0
1.887513,I,47
1.887513,R,21
1.887513,S,9804
1.912872,E,127
1.912872,H,0
1.912872,I,48
1.912872,R,21
1.912872,S,9804
1.915556,E,128
1.915556,H,0
1.915556,I,48
1.915556,R,21
1.915556,S,9803
1.934230,E,127
1.934230,H,0
1.934230,I,49
1.934230,R,21
1.934230,S,9803
1.965311,E,127
1.965311,H,0
1.965311,I,48
1.965311,R,22
1.965311,S,9803
2.003707,E,127
2.003707,H,0
2.003707,I,47
2.003707,R,23
2.003707,S,9803
2.005935,E,127
2.005935,H,0
2.005935,I,46
2.005935,R,24
2.005935,S,9803
2.013520,E,128
2.013520,H,0
2.013520,I,46
2.013520,R,24
2.013520,S,9802
2.035756,E,127
2.035756,H,0
2.035756,I,47
2.035756,R,24
2.035756,S,9802
2.043993,E,128
2.043993,H,0
2.043993,I,47
2.043993,R,24
2.043993,S,9801
2.056688,E,127
2.056688,H,0
2.056688,I,48
2.056688,R,24
2.056688,S,9801
2.078729,E,126
2.078729,H,0
2.078729,I,49
2.078729,R,24
2.078729,S,9801
2.079219,E,125
2.079219,H,0
2.079219,I,50
2.079219,R,24
2.079219,S,9801
2.082672,E,124
2.082672,H,0
2.082672,I,51
2.082672,R,24
2.082672,S,9801
2.094236,E,125
2.094236,H,0
2.094236,I,51
2.094236,R,24
2.094236,S,9800
2.102899,E,124
2.102899,H,0
2.102899,I,52
2.102899,R,24
2.102899,S,9800
2.125853,E,123
2.125853,H,0
2.125853,I,53
2.125853,R,24
2.125853,S,9800
2.136373,E,122
2.136373,H,0
2.136373,I,54
2.136373,R,24
2.136373,S,9800
2.175625,E,123
2.175625,H,0
2.175625,I,54
2.175625,R,24
2.175625,S,9799
2.188077,E,124
2.188077,H,0
2.188077,I,54
2.188077,R,24
2.188077,S,9798
2.188995,E,123
2.188995,H,0
2.188995,I,55
2.188995,R,24
2.188995,S,9798
2.192555,E,123
2.192555,H,0
2.192555,I,54
2.192555,R,25
2.192555,S,9798
2.222365,E,122
2.222365,H,0
2.222365,I,55
2.222365,R,25
2.222365,S,9798
2.226735,E,123
2.226735,H,0
2.226735,I,55
2.226735,R,25
2.226735,S,9797
2.228191,E,124
2.228191,H,0
2.228191,I,55
2.228191,R,25
2.228191,S,9796
2.235727,E,123
2.235727,H,0
2.235727,I,56
2.235727,R,25
2.235727,S,9796
2.237318,E,124
2.237318,H,0
2.237318,I,56
2.237318,R,25
2.237318,S,9795
2.252496,E,125
2.252496,H,0
2.252496,I,56
2.252496,R,25
2.252496,S,9794
2.258703,E,126
2.258703,H,0
2.258703,I,56
2.258703,R,25
2.258703,S,9793
2.259709,E,127
2.259709,H,0
2.259709,I,56
2.259709,R,25
2.259709,S,9792
2.260794,E,126
2.260794,H,0
2.260794,I,57
2.260794,R,25
2.260794,S,9792
2.262008,E,127
2.262008,H,0
2.262008,I,57
2.262008,R,25
2.262008,S,9791
2.268357,E,127
2.268357,H,0
2.268357,I,56
2.268357,R,26
2.268357,S,9791
2.271566,E,128
2.271566,H,0
2.271566,I,56
2.271566,R,26
2.271566,S,9790
2.274071,E,129
2.274071,H,0
2.274071,I,56
2.274071,R,26
2.274071,S,9789
2.274783,E,130
2.274783,H,0
2.274783,I,56
2.274783,R,26
2.274783,S,9788
2.275434,E,131
2.275434,H,0
2.275434,I,56
2.275434,R,26
2.275434,S,9787
2.289678,E,130
2.289678,H,0
2.289678,I,57
2.289678,R,26
2.289678,S,9787
2.300234,E,131
2.300234,H,0
2.300234,I,57
2.300234,R,26
2.300234,S,9786
2.302119,E,130
2.302119,H,0
2.302119,I,58
2.302119,R,26
2.302119,S,9786
2.318721,E,129
2.318721,H,0
2.318721,I,59
2.318721,R,26
2.318721,S,9786
2.352875,E,128
2.352875,H,0
2.352875,I,60
2.352875,R,26
2.352875,S,9786
2.354274,E,129
2.354274,H,0
2.354274,I,60
2.354274,R,26
2.354274,S,9785
2.357828,E,129
2.357828,H,0
2.357828,I,59
2.357828,R,27
2.357828,S,9785
2.365957,E,130
2.365957,H,0
2.365957,I,59
2.365957,R,27
2.365957,S,9784
2.374390,E,131
2.374390,H,0
2.374390,I,59
2.374390,R,27
2.374390,S,9783
2.390451,E,131
2.390451,H,0
2.390451,I,58
2.390451,R,28
2.390451,S,9783
2.408450,E,132
2.408450,H,0
2.408450,I,58
2.408450,R,28
2.408450,S,9782
2.423787,E,131
2.423787,H,0
2.423787,I,59
2.423787,R,28
2.423787,S,9782
2.451944,E,130
2.451944,H,0
2.451944,I,60
2.451944,R,28
2.451944,S,9782
2.496805,E,130
2.496805,H,0
2.496805,I,59
2.496805,R,29
2.496805,S,9782
2.508386,E,131
2.508386,H,0
2.508386,I,59
2.508386,R,29
2.508386,S,9781
2.517670,E,130
2.517670,H,0
2.517670,I,60
2.517670,R,29
2.517670,S,9781
2.518509,E,131
2.518509,H,0
2.518509,I,60
2.518509,R,29
2.518509,S,9780
2.521515,E,130
2.521515,H,0
2.521515,I,61
2.521515,R,29
2.521515,S,9780
2.532336,E,130
2.532336,H,0
2.532336,I,60
2.532336,R,30
2.532336,S,9780
2.533732,E,129
2.533732,H,0
2.533732,I,61
2.533732,R,30
2.533732,S,9780
2.541478,E,129
2.541478,H,0
2.541478,I,60
2.541478,R,31
2.541478,S,9780
2.544494,E,128
2.544494,H,0
2.544494,I,61
2.544494,R,31
2.544494,S,9780
2.560800,E,129
2.560800,H,0
2.560800,I,61
2.560800,R,31
2.560800,S,9779
2.638385,E,130
2.638385,H,0
2.638385,I,61
2.638385,R,31
2.638385,S,9778
2.653880,E,131
2.653880,H,0
2.653880,I,61
2.653880,R,31
2.653880,S,9777
2.658336,E,130
2.658336,H,0
2.658336,I,62
2.658336,R,31
2.658336,S,9777
2.679099,E,129
2.679099,H,0
2.679099,I,63
2.679099,R,31
2.679099,S,9777
2.684438,E,130
2.684438,H,0
2.684438,I,63
2.684438,R,31
2.684438,S,9776
2.691379,E,129
2.691379,H,0
2.691379,I,64
2.691379,R,31
2.691379,S,9776
2.734015,E,128
2.734015,H,0
2.734015,I,65
2.734015,R,31
2.734015,S,9776
2.735797,E,129
2.735797,H,0
2.735797,I,65
2.735797,R,31
2.735797,S,9775
2.736213,E,129
2.736213,H,0
2.736213,I,64
2.736213,R,32
2.736213,S,9775
2.737717,E,130
2.737717,H,0
2.737717,I,64
2.737717,R,32
2.737717,S,9774
2.755607,E,131
2.755607,H,0
2.755607,I,64
2.755607,R,32
2.755607,S,9773
2.778179,E,130
2.778179,H,0
2.778179,I,65
2.778179,R,32
2.778179,S,9773
2.778612,E,129
2.778612,H,0
2.778612,I,66
2.778612,R,32
2.778612,S,9773
2.780325,E,130
2.780325,H,0
2.780325,I,66
2.780325,R,32
2.780325,S,9772
2.780820,E,131
2.780820,H,0
2.780820,I,66
2.780820,R,32
2.780820,S,9771
2.789847,E,130
2.789847,H,0
2.789847,I,67
2.789847,R,32
2.789847,S,9771
2.793748,E,131
2.793748,H,0
2.793748,I,67
2.793748,R,32
2.793748,S,9770
2.843860,E,130
2.843860,H,0
2.843860,I,68
2.843860,R,32
2.843860,S,9770
